"x","y","EBOV","BDBV","BOMV","TAFV","RESTV","SUDV","MARV","LLOV","MLAV","RAVN","DEHV"
84.5,65.50107,1,NA,NA,1,NA,1,NA,1,NA,NA,NA
88.5,65.50107,1,1,NA,1,1,1,1,1,1,1,1
89.5,65.50107,1,1,NA,1,1,1,1,1,1,1,1
90.5,65.50107,1,1,NA,1,1,1,1,1,1,1,1
91.5,65.50107,1,1,NA,1,1,1,1,1,1,1,1
113.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
114.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
115.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
116.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
117.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
118.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
119.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
120.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
121.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
122.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
123.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
124.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
125.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
126.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
127.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
128.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
129.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
130.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
131.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
132.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
133.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
134.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
135.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
136.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
137.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
138.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
139.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
140.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
141.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
142.5,65.50107,NA,1,NA,1,NA,1,1,NA,1,1,1
-158.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-157.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
-156.5,64.50107,1,NA,NA,1,NA,1,NA,NA,NA,NA,NA
