Event ID,Spillover ID,Initial Event,Virus,Data type,Nonhuman primate,Other mammal,Human,Country,Year,Human start date,Start date,Location,Source,Date source,Latitude,Longitude,Coordinate source,Cases,Deaths,DOI
,,,BOMV,Local,,T,,Mozambique,2015,,,Inhassoro District,Lebarnechon et al. 2022,Lebarnechon et al. 2022,-21.5394,35.1872,Google Maps,NA,NA,10.3201/eid2812.220853
,,,MARV,Confirmed,,,,Zimbabwe,1975,,Feb-75,Chinhoyi Caves,Conrad et al. 1978,Conrad et al. 1978,-17.3564,30.13,Google Maps,3,1,10.4269/ajtmh.1978.27.1210
,,,LLOV,Local,,T,,Spain,2002,,,"Cantabria (looks like Cueva el Soplao, but at least is in that area)",Negredo et al. 2011,Negredo et al. 2011,43.296389,-4.41,Google Maps,NA,NA,10.1371/journal.ppat.1002304
,,,MARV,Local,,T,,Sierra Leone,2018,,18-Sep,"Kasewe Cave, Moyamba",Amman et al. 2020,Amman et al. 2020,8.324111,-12.176667,Amman et al. 2020,NA,NA,10.1038/s41467-020-14327-8
,,,MARV,Local,,T,,Gabon,2005,,,Moyen-Ogooué near Lambarene,Towner et al. 2007,Towner et al. 2007,-0.683333,11.016667,Pourrut et al. 2009,NA,NA,10.1371/journal.pone.0000764
,,,MARV,Local,,T,,Gabon,2005,,,Nyanga near Tchibanga,Towner et al. 2007,Towner et al. 2007,-2.85,11.016667,Pourrut et al. 2009,NA,NA,10.1371/journal.pone.0000764
,,,MARV,Confirmed,,,T,Tanzania,2025,,10-Jan-25,Ruziba and Katelera Villages,Venkatesan 2025,Venkatesan 2025,-2.403,31.232,CDC 2025 (centroid of Ruziba village polygon),10,10,10.1016/j.lanmic.2025.101121
,,,EBOV,Confirmed,,,T,DRC,2025,20-Aug-25,20-Aug-25,Bulape Health Zone,Milambo 2025,Milambo 2025,-4.354421,21.74751,Milambo 2025 (centroid of health zone),64,45,10.21203/rs.3.rs-7543616/v1
,,,BOMV,Local,,T,,Tanzania,2017,,5/1/17,Kyela,Düx et al. 2024,Düx et al. 2024,-9.5949,33.869,Google Maps,NA,NA,10.3390/v16081227
,,,MARV,Confirmed,,,T,Ethiopia,2025,14-Nov-25,14-Nov-25,Jinka,Africa CDC 2025,Africa CDC 2025,5.78619,36.56564,Africa CDC 2025 (Used coordinates from the 2022 populated areas shapefile on Humanitarian Data Exchange),14,9,
,,,LLOV,Local,,T,,China,2015,,,"Yulin, Guangxi",Yan et al. 2025,Yan et al. 2025,22.65,110.18,Google Maps,NA,NA,10.1038/s41564-024-01884-7
,,,DEHV,Local,,T,,China,2016,,,"Dehong, Yunnan ",Yan et al. 2025,Yan et al. 2025,24.4323,98.5849,Google Maps,NA,NA,10.1038/s41564-024-01884-7
