"","x","y","EBOV","BOMV","BDBV","TAFV","RESTV","SUDV","MARV","RAVV","LLOV","MLAV","DEHV"
"20378",37.5,27.50107421875,0.107989320531487,-0.160689672920853,-0.202944174408913,-0.00484603643417358,0.0517765190452337,-0.107257808558643,-0.201834952458739,-0.19644936081022,0.100866034626961,-0.235195770859718,-0.215910480590537
"20379",38.5,27.50107421875,0.107989320531487,-0.160689672920853,-0.202944174408913,-0.00484603643417358,0.0517765190452337,-0.107257808558643,-0.201834952458739,-0.19644936081022,0.100866034626961,-0.235195770859718,-0.215910480590537
"20380",39.5,27.50107421875,0.126178670674562,0.0135503178462386,0.0374568216502666,0.0643374565988779,0.183690931648016,0.017182283103466,0.00980382971465588,0.0105507900007069,0.0875300411134958,0.148216865956783,0.00960141734685749
"20381",40.5,27.50107421875,0.341001592576504,0.113774987868965,0.185434164479375,0.231406081467867,0.556478708982468,0.0947665870189667,0.137783583719283,0.140488464385271,0.271458093076944,0.419726721942425,0.159704660531133
"20382",41.5,27.50107421875,0.508226562291384,0.107363926246762,0.236375719308853,0.393928501754999,0.747257561888546,0.140424300916493,0.156832188367844,0.161417455412447,0.40306630730629,0.415015801787376,0.194802262587473
"20383",42.5,27.50107421875,0.229436360299587,-0.0129265645518899,0.0480328649282455,0.160546470433474,0.27950085606426,0.0363250561058521,-0.00545370159670711,-0.00359918922185898,0.162136692553759,0.113860443234444,0.000799170229583979
"20384",43.5,27.50107421875,0.126178670674562,0.0135503178462386,0.0374568216502666,0.0643374565988779,0.183690931648016,0.017182283103466,0.00980382971465588,0.0105507900007069,0.0875300411134958,0.148216865956783,0.00960141734685749
"20385",44.5,27.50107421875,0.126178670674562,0.0135503178462386,0.0374568216502666,0.0643374565988779,0.183690931648016,0.017182283103466,0.00980382971465588,0.0105507900007069,0.0875300411134958,0.148216865956783,0.00960141734685749
"20386",45.5,27.50107421875,0.126178670674562,0.0135503178462386,0.0374568216502666,0.0643374565988779,0.183690931648016,0.017182283103466,0.00980382971465588,0.0105507900007069,0.0875300411134958,0.148216865956783,0.00960141734685749
"20387",46.5,27.50107421875,0.126178670674562,0.0135503178462386,0.0374568216502666,0.0643374565988779,0.183690931648016,0.017182283103466,0.00980382971465588,0.0105507900007069,0.0875300411134958,0.148216865956783,0.00960141734685749
"20388",47.5,27.50107421875,0.296760566532612,0.0566008416935802,0.110911151394248,0.229630891233683,0.479112967848778,0.136446192860603,0.0835859295912087,0.0843557827174664,0.206769425421953,0.265620231628418,0.0691540739499032
"20389",48.5,27.50107421875,0.517151430249214,0.0510536283254623,0.177128138020635,0.319998900406063,0.650071521289647,0.16365379281342,0.149202652275562,0.152162198908627,0.374250296503305,0.336460655555129,0.146225369302556
"20394",53.5,27.50107421875,1.95481977798045,0.149344181641936,0.63962340541184,1.39097475074232,2.25789434090257,0.776688812300563,0.4642787380144,0.500231229001656,1.75149042159319,-0.679036691784859,0.363934936001897
"20395",54.5,27.50107421875,4.79490284621716,0.816212757839821,2.23814773000777,3.31176810339093,5.84879970178008,1.73714808467776,1.77514128852636,1.84623516537249,4.2595002874732,-0.169958613812923,1.8048881823197
"20396",55.5,27.50107421875,5.39779616892338,0.323414264246821,1.68775324523449,3.19810973666608,5.87375245755538,1.24860338866711,1.45442831330001,1.53897457011044,4.96278420090675,-1.23960741236806,1.55061500053853
"20397",56.5,27.50107421875,3.3027073405683,0.596535092801787,1.45381241478026,2.1930021205917,4.4969267337583,1.42252313438803,1.3111839517951,1.36605434119701,3.16949683427811,0.131647501140833,1.26703753974289
"20398",57.5,27.50107421875,2.32494243606925,0.274131646379828,0.898300912231207,1.60277188383043,2.84945099521428,0.898886478040367,0.617297658696771,0.651413179934025,1.93591179698706,-0.523196004331112,0.539037052541971
"20399",58.5,27.50107421875,2.56220594421029,0.339158272370696,1.03088085912168,1.64371656626463,3.15610343683511,1.00839680433273,0.788762433454394,0.821284130215645,2.08070760220289,-0.265874031931162,0.750022489577532
"20400",59.5,27.50107421875,2.38453898206353,0.147372400388122,0.716719266027212,1.40263276919723,3.25365423411131,1.03439892083406,0.805511922575533,0.837775359861553,1.85484385117888,0.387752704322338,0.827917359769344
"20401",60.5,27.50107421875,3.58741664886475,0.269563232548535,1.35078139975667,2.27088593039662,4.37986009567976,1.18578745052218,1.4318593852222,1.48097633197904,2.93448610603809,0.775431837886572,1.52545598801225
"20402",61.5,27.50107421875,1.28046504035592,0.238964145071805,0.531876573339105,0.97408763691783,1.76566569134593,0.548745146021247,0.524364549666643,0.545124257914722,1.22157900780439,0.404671490192413,0.515902072191238
"20403",62.5,27.50107421875,1.177235994488,0.105557811446488,0.357989558950067,0.969945531338453,1.58514563366771,0.645997559651732,0.397903371602297,0.414147998206317,1.07063878327608,0.0450896918773651,0.304617375135422
"20404",63.5,27.50107421875,0.826853390783072,0.127099349163473,0.262978293001652,0.810645315796137,1.34181493893266,0.581123895011842,0.28442791569978,0.295452252030373,0.769853796809912,0.0651977881789207,0.180070704780519
"20405",64.5,27.50107421875,1.177235994488,0.105557811446488,0.357989558950067,0.969945531338453,1.58514563366771,0.645997559651732,0.397903371602297,0.414147998206317,1.07063878327608,0.0450896918773651,0.304617375135422
"20406",65.5,27.50107421875,1.177235994488,0.105557811446488,0.357989558950067,0.969945531338453,1.58514563366771,0.645997559651732,0.397903371602297,0.414147998206317,1.07063878327608,0.0450896918773651,0.304617375135422
"20407",66.5,27.50107421875,1.96932766586542,-0.00433371681720018,0.515976916998625,1.4797889906913,2.1569280475378,0.596342138480395,0.393111793324351,0.421717943623662,1.74023810774088,-0.215358797460794,0.306523766368628
"20408",67.5,27.50107421875,3.46716121584177,-0.305655798874795,1.05296683957567,1.90763368830085,2.25445616990328,-0.35279746260494,0.33128160200431,0.359714471269399,2.52641830593348,-0.926067251712084,0.470103715546429
"20409",68.5,27.50107421875,3.00578501261771,-0.542782462202013,0.576349108421709,1.43283553048968,1.46402859687805,-0.584192534908652,0.165230787912151,0.194252990651876,2.20759386569262,-1.1837591715157,0.33386642485857
"20410",69.5,27.50107421875,1.46359993517399,-0.464089986868203,0.0525263361632824,0.999457901343703,0.386140182614326,-0.193310378585011,-0.427171079441905,-0.405151041224599,0.656380206346512,-1.6651404723525,-0.457070890814066
"20411",70.5,27.50107421875,1.58194287493825,-0.327983346767724,0.153902750462294,1.07566148415208,0.562760226428509,-0.139188827946782,-0.373236052226275,-0.350804903311655,0.712332144379616,-1.72479098290205,-0.404180526733398
